Model,Metric,Mean,Std,Median,Q1,Q3,IQR,Min,Max,N
Dual-head sparse-active QP HistoryGNO,History-increment rel. L2,1.00003,0,1.00003,1.00003,1.00003,0,1.00003,1.00003,1
Dual-head sparse-active QP HistoryGNO,QP history rel. L2,1.00475,0,1.00475,1.00475,1.00475,0,1.00475,1.00475,1
Dual-head sparse-active QP HistoryGNO,QP history-inc. rel. L2,1.00003,0,1.00003,1.00003,1.00003,0,1.00003,1.00003,1
Dual-head sparse-active QP HistoryGNO,QP eqp rel. L2,1,0,1,1,1,0,1,1,1
Dual-head sparse-active QP HistoryGNO,QP plastic-work rel. L2,1,0,1,1,1,0,1,1,1
Dual-head sparse-active QP HistoryGNO,QP von-Mises rel. L2,1.17912,0,1.17912,1.17912,1.17912,0,1.17912,1.17912,1
Dual-head sparse-active QP HistoryGNO,QP reversal scalar-inc. rel. L2,0.999807,0,0.999807,0.999807,0.999807,0,0.999807,0.999807,1
Dual-head sparse-active QP HistoryGNO,QP reversal eqp-inc. rel. L2,1,0,1,1,1,0,1,1,1
Dual-head sparse-active QP HistoryGNO,QP reversal work-inc. rel. L2,1,0,1,1,1,0,1,1,1
Dual-head sparse-active QP HistoryGNO,QP reversal yield MAE,0.413451,0,0.413451,0.413451,0.413451,0,0.413451,0.413451,1
Dual-head sparse-active QP HistoryGNO,QP inactive false plasticity,0.00310294,0,0.00310294,0.00310294,0.00310294,0,0.00310294,0.00310294,1
Dual-head sparse-active QP HistoryGNO,Eqp increment rel. L2,1,0,1,1,1,0,1,1,1
Dual-head sparse-active QP HistoryGNO,Plastic-work inc. rel. L2,1,0,1,1,1,0,1,1,1
Dual-head sparse-active QP HistoryGNO,Reversal hist-inc. rel. L2,0.99981,0,0.99981,0.99981,0.99981,0,0.99981,0.99981,1
Dual-head sparse-active QP HistoryGNO,Reversal yield-flag MAE,0.140587,0,0.140587,0.140587,0.140587,0,0.140587,0.140587,1
Dual-head sparse-active QP HistoryGNO,Yield-surface RMS,3.84737e-10,0,3.84737e-10,3.84737e-10,3.84737e-10,0,3.84737e-10,3.84737e-10,1
Dual-head sparse-active QP HistoryGNO,Plastic-work violation abs.,3.27027e-18,0,3.27027e-18,3.27027e-18,3.27027e-18,0,3.27027e-18,3.27027e-18,1
Dual-head sparse-active QP HistoryGNO,Plastic-work violation target-norm.,3.50725e-13,0,3.50725e-13,3.50725e-13,3.50725e-13,0,3.50725e-13,3.50725e-13,1
Dual-head sparse-active QP HistoryGNO,Plastic-work violation pred-norm.,3.36693e-07,0,3.36693e-07,3.36693e-07,3.36693e-07,0,3.36693e-07,3.36693e-07,1
Dual-head sparse-active QP HistoryGNO,FEM residual rel. RMS,87.1602,0,87.1602,87.1602,87.1602,0,87.1602,87.1602,1
Dual-head sparse-active QP HistoryGNO,FEM energy rel. err.,4363.85,0,4363.85,4363.85,4363.85,0,4363.85,4363.85,1
