Protocol,Train paths,Eval path,Path OOD,Sparse config,Sensors,Observed steps,Noise std,sparse_observation_relative_l2,rollout_displacement_relative_l2,material_parameter_relative_l2,material_parameter_posterior_std,material_parameter_coverage_95,material_parameter_ece,material_parameter_nll,calibrated_material_parameter_coverage_95,calibrated_material_parameter_ece,calibrated_material_parameter_nll,calibrated_material_parameter_spread_scale,calibrated_material_parameter_posterior_std,history_relative_l2,history_final_relative_l2,history_posterior_std,history_coverage_95,history_ece,history_nll,calibrated_history_coverage_95,calibrated_history_ece,calibrated_history_nll,calibrated_history_spread_scale,calibrated_history_posterior_std,field_coverage_95,field_ece,field_nll,field_crps,field_sharpness,field_interval_width_95,calibrated_field_coverage_95,calibrated_field_ece,calibrated_field_nll,calibrated_field_crps,calibrated_field_sharpness,calibrated_field_interval_width_95,calibrated_field_spread_scale,posterior_calibration_num_calibration,posterior_calibration_num_test,inversion_final_loss
strict_path_ood,monotonic,cyclic,yes,s2_t2,2,2,0.001,"1.043e+09 +/- 1.6e+09; med 6.171, IQR 1.7e+09","0.9157 +/- 0.033; med 0.9013, IQR 0.027","0.1902 +/- 0.052; med 0.17, IQR 0.076","1.151 +/- 1.6; med 0.1876, IQR 1.6","0.1375 +/- 0.21; med 0.08333, IQR 0.063","0.6844 +/- 0.17; med 0.7458, IQR 0.026","2.994e+04 +/- 3.4e+04; med 1.336e+04, IQR 3.9e+04","0.9417 +/- 0.091; med 1, IQR 0.083","0.125 +/- 0.035; med 0.1167, IQR 0.05","5.885 +/- 6.9; med 2.064, IQR 4.6","959.1 +/- 1.3e+03; med 218.6, IQR 1.2e+03","3206 +/- 6.9e+03; med 8.458, IQR 3.8e+02","1.194 +/- 0.058; med 1.185, IQR 0.064","4.836 +/- 0.073; med 4.824, IQR 0.079","0.01032 +/- 0.013; med 0.002987, IQR 0.011","0.04891 +/- 0.032; med 0.04873, IQR 0.021","0.7424 +/- 0.028; med 0.7418, IQR 0.02","3.222e+06 +/- 1.8e+06; med 3.46e+06, IQR 1.9e+06","0.877 +/- 0.072; med 0.8687, IQR 0.087","0.1001 +/- 0.025; med 0.1068, IQR 0.0096","9.646e+05 +/- 2e+06; med 8.009e+04, IQR 2.4e+05","1e+04 +/- 0; med 1e+04, IQR 0","149.4 +/- 1.9e+02; med 37.5, IQR 2.4e+02","0.04635 +/- 0.073; med 0.006836, IQR 0.043","0.7508 +/- 0.059; med 0.7823, IQR 0.031","6.753e+04 +/- 2.3e+04; med 7.21e+04, IQR 3.4e+04","0.02553 +/- 0.00089; med 0.02533, IQR 0.00094","0.0008765 +/- 0.0015; med 6.67e-05, IQR 0.00067","0.002024 +/- 0.0033; med 0.0001847, IQR 0.0016","0.949 +/- 0.066; med 0.9811, IQR 0.085","0.1287 +/- 0.031; med 0.1439, IQR 0.037","0.6091 +/- 1.9; med -0.2027, IQR 3","1.393 +/- 2.2; med 0.04338, IQR 1.8","3.407 +/- 5.1; med 0.132, IQR 4.7","7.94 +/- 12; med 0.3944, IQR 11","3180 +/- 8.6e+02; med 3431, IQR 1.1e+03","4 +/- 0; med 4, IQR 0","4 +/- 0; med 4, IQR 0","456.1 +/- 3.9e+02; med 334.4, IQR 2.4e+02"
strict_path_ood,monotonic,nonproportional,yes,s2_t2,2,2,0.001,"1.009 +/- 0.23; med 1.089, IQR 0.42","0.8681 +/- 0.041; med 0.8605, IQR 0.031","0.1566 +/- 0.026; med 0.1549, IQR 0.027","1.256 +/- 1.2; med 1.238, IQR 2.1","0.15 +/- 0.13; med 0.1667, IQR 0.23","0.649 +/- 0.11; med 0.626, IQR 0.22","5.171e+04 +/- 6.6e+04; med 1.099e+04, IQR 8.3e+04","0.9833 +/- 0.023; med 1, IQR 0.042","0.175 +/- 0.035; med 0.1604, IQR 0.062","2.814 +/- 1.3; med 2.049, IQR 1.5","618.9 +/- 2.7e+02; med 723.5, IQR 3.6e+02","918.7 +/- 1.6e+03; med 23.51, IQR 8e+02","1.006 +/- 0.024; med 1.009, IQR 0.021","2.693 +/- 0.13; med 2.738, IQR 0.026","0.007165 +/- 0.0069; med 0.00532, IQR 0.0052","0.03566 +/- 0.022; med 0.03518, IQR 0.012","0.7535 +/- 0.02; med 0.7536, IQR 0.011","3.679e+06 +/- 9.8e+05; med 3.392e+06, IQR 9.2e+05","0.8256 +/- 0.071; med 0.8175, IQR 0.036","0.1242 +/- 0.031; med 0.1208, IQR 0.026","4.852e+05 +/- 8e+05; med 2.976e+04, IQR 4.7e+05","1e+04 +/- 0; med 1e+04, IQR 0","93.17 +/- 1.5e+02; med 17.96, IQR 51","0.05283 +/- 0.058; med 0.05501, IQR 0.062","0.7388 +/- 0.051; med 0.7329, IQR 0.062","8.02e+04 +/- 3.8e+04; med 8.253e+04, IQR 5.6e+04","0.03037 +/- 0.0012; med 0.03014, IQR 0.0013","0.001581 +/- 0.0016; med 0.001934, IQR 0.0021","0.003399 +/- 0.0035; med 0.004005, IQR 0.0044","0.9703 +/- 0.035; med 0.9854, IQR 0.058","0.1395 +/- 0.03; med 0.1325, IQR 0.047","0.5312 +/- 2.2; med -0.8916, IQR 3.8","3.064 +/- 4.6; med 0.05885, IQR 4.8","6.624 +/- 9.5; med 0.2143, IQR 11","14.28 +/- 20; med 0.6445, IQR 26","5006 +/- 2.1e+03; med 5479, IQR 1.8e+03","4 +/- 0; med 4, IQR 0","4 +/- 0; med 4, IQR 0","743.8 +/- 1.4e+02; med 721, IQR 1.1e+02"
strict_path_ood,monotonic,pre_stress,yes,s2_t2,2,2,0.001,"54.27 +/- 35; med 50.9, IQR 37","0.9003 +/- 0.045; med 0.9108, IQR 0.043","0.1811 +/- 0.042; med 0.1913, IQR 0.015","0.9786 +/- 0.99; med 0.6445, IQR 0.45","0.1292 +/- 0.1; med 0.08333, IQR 0.021","0.6698 +/- 0.096; med 0.7146, IQR 0.036","1.465e+04 +/- 1.9e+04; med 8544, IQR 5.2e+03","0.975 +/- 0.037; med 1, IQR 0.042","0.1638 +/- 0.018; med 0.1604, IQR 0.021","2.23 +/- 1.7; med 1.608, IQR 0.61","385.3 +/- 1.7e+02; med 336.6, IQR 1.8e+02","764.1 +/- 1.5e+03; med 24.91, IQR 4.1e+02","0.6312 +/- 0.037; med 0.6166, IQR 0.045","0.2726 +/- 0.033; med 0.2658, IQR 0.011","0.007942 +/- 0.0092; med 0.004335, IQR 0.0086","0.08826 +/- 0.046; med 0.08614, IQR 0.047","0.7023 +/- 0.046; med 0.706, IQR 0.044","1.237e+06 +/- 4e+05; med 1.417e+06, IQR 5.5e+05","0.9302 +/- 0.034; med 0.9252, IQR 0.023","0.1263 +/- 0.017; med 0.1249, IQR 0.0046","1.436e+05 +/- 2.5e+05; med 5.928e+04, IQR 6.4e+04","1e+04 +/- 0; med 1e+04, IQR 0","103.5 +/- 1.9e+02; med 23.26, IQR 22","0.04372 +/- 0.048; med 0.02816, IQR 0.0024","0.7489 +/- 0.04; med 0.7609, IQR 0.0061","1.217e+04 +/- 2e+03; med 1.228e+04, IQR 8.7e+02","0.01216 +/- 0.00085; med 0.01239, IQR 0.00023","0.0008731 +/- 0.00092; med 0.0005822, IQR 0.0005","0.001881 +/- 0.002; med 0.001227, IQR 0.00097","0.9544 +/- 0.034; med 0.9515, IQR 0.024","0.1294 +/- 0.025; med 0.1392, IQR 0.012","-0.3452 +/- 2.4; med -1.315, IQR 2","1.989 +/- 3.7; med 0.06788, IQR 1.2","4.337 +/- 8.1; med 0.2199, IQR 2.5","9.304 +/- 17; med 0.6224, IQR 5.2","2022 +/- 1.1e+03; med 1507, IQR 3.8e+02","4 +/- 0; med 4, IQR 0","4 +/- 0; med 4, IQR 0","275.3 +/- 1.3e+02; med 281.6, IQR 1.2e+02"
strict_path_ood,monotonic,random_amplitude,yes,s2_t2,2,2,0.001,"0.7982 +/- 0.15; med 0.787, IQR 0.061","0.8417 +/- 0.04; med 0.8454, IQR 0.073","0.2343 +/- 0.052; med 0.2105, IQR 0.032","0.8946 +/- 1.3; med 0.07867, IQR 1.4","0.1083 +/- 0.17; med 0, IQR 0.17","0.6896 +/- 0.15; med 0.7875, IQR 0.14","1.451e+05 +/- 2.2e+05; med 2.007e+04, IQR 1.8e+05","0.9917 +/- 0.019; med 1, IQR 0","0.1625 +/- 0.041; med 0.1708, IQR 0.042","2.767 +/- 2.3; med 2.383, IQR 1.5","1373 +/- 1.6e+03; med 487.8, IQR 2.1e+03","3613 +/- 7.7e+03; med 12.08, IQR 6e+02","0.9302 +/- 0.025; med 0.9202, IQR 0.011","0.2542 +/- 0.014; med 0.2481, IQR 0.025","0.004268 +/- 0.0049; med 0.001082, IQR 0.0075","0.04864 +/- 0.032; med 0.03512, IQR 0.019","0.7413 +/- 0.031; med 0.7538, IQR 0.015","3.25e+06 +/- 1.4e+06; med 3.778e+06, IQR 2.6e+06","0.8465 +/- 0.067; med 0.8203, IQR 0.086","0.121 +/- 0.016; med 0.1192, IQR 0.013","7.145e+05 +/- 1.1e+06; med 2.794e+05, IQR 7.3e+05","1e+04 +/- 0; med 1e+04, IQR 0","68.44 +/- 87; med 9.984, IQR 1.2e+02","0.04102 +/- 0.062; med 0.001302, IQR 0.059","0.7517 +/- 0.056; med 0.7864, IQR 0.047","5.76e+04 +/- 2.1e+04; med 6.148e+04, IQR 2.7e+04","0.02593 +/- 0.00094; med 0.02613, IQR 0.0013","0.001084 +/- 0.0017; med 4.154e-05, IQR 0.0013","0.002413 +/- 0.0037; med 0.0001144, IQR 0.003","0.9688 +/- 0.034; med 0.984, IQR 0.04","0.1677 +/- 0.044; med 0.1873, IQR 0.058","0.4273 +/- 1.8; med -0.4438, IQR 2.6","1.906 +/- 2.5; med 0.1222, IQR 4.5","4.262 +/- 5.6; med 0.3565, IQR 9.9","9.583 +/- 12; med 0.9856, IQR 21","4582 +/- 2.3e+03; med 4299, IQR 1.2e+03","4 +/- 0; med 4, IQR 0","4 +/- 0; med 4, IQR 0","1251 +/- 3.7e+02; med 1268, IQR 6.6e+02"
strict_path_ood,monotonic,unload_reload,yes,s2_t2,2,2,0.001,"0.8819 +/- 0.17; med 0.8264, IQR 0.15","0.8427 +/- 0.037; med 0.8359, IQR 0.069","0.2172 +/- 0.046; med 0.2286, IQR 0.062","0.8651 +/- 0.78; med 1.203, IQR 1.1","0.125 +/- 0.1; med 0.1042, IQR 0.15","0.6885 +/- 0.078; med 0.6938, IQR 0.13","9.796e+04 +/- 1.8e+05; med 1.782e+04, IQR 2.2e+04","0.9167 +/- 0.083; med 0.9583, IQR 0.083","0.1563 +/- 0.019; med 0.15, IQR 0.029","2.23 +/- 1; med 2.227, IQR 0.95","410.9 +/- 2.9e+02; med 373.9, IQR 1e+02","336.7 +/- 4.7e+02; med 30.84, IQR 5.5e+02","0.9821 +/- 0.017; med 0.9852, IQR 0.015","0.2126 +/- 0.021; med 0.2042, IQR 0.012","0.005915 +/- 0.006; med 0.002643, IQR 0.0059","0.0493 +/- 0.023; med 0.05005, IQR 0.037","0.7424 +/- 0.021; med 0.7405, IQR 0.028","3.343e+06 +/- 1.1e+06; med 3.613e+06, IQR 1.7e+06","0.8223 +/- 0.038; med 0.8252, IQR 0.042","0.1214 +/- 0.011; med 0.1184, IQR 0.00063","7.78e+05 +/- 1.3e+06; med 1.869e+05, IQR 4.6e+05","9399 +/- 1.3e+03; med 1e+04, IQR 0","30.56 +/- 28; med 31.55, IQR 25","0.04701 +/- 0.045; med 0.05371, IQR 0.062","0.7486 +/- 0.034; med 0.7339, IQR 0.057","3.678e+04 +/- 1.2e+04; med 4.05e+04, IQR 1.6e+04","0.01967 +/- 0.00061; med 0.01984, IQR 0.00091","0.001021 +/- 0.0009; med 0.001592, IQR 0.0016","0.002254 +/- 0.002; med 0.003524, IQR 0.0036","0.8992 +/- 0.11; med 0.9398, IQR 0.026","0.1277 +/- 0.034; med 0.1159, IQR 0.048","-0.4404 +/- 0.34; med -0.3107, IQR 0.19","0.6035 +/- 0.76; med 0.08907, IQR 1.3","1.27 +/- 1.5; med 0.2821, IQR 2.6","2.71 +/- 3.1; med 0.8169, IQR 5.1","2664 +/- 1.5e+03; med 1691, IQR 2.2e+03","4 +/- 0; med 4, IQR 0","4 +/- 0; med 4, IQR 0","695.1 +/- 1.4e+02; med 705, IQR 1.3e+02"
strict_path_ood,monotonic,cyclic,yes,s4_t2,4,2,0.001,"0.9064 +/- 0.057; med 0.8931, IQR 0.036","0.9065 +/- 0.037; med 0.8969, IQR 0.034","0.1787 +/- 0.048; med 0.1959, IQR 0.072","0.9918 +/- 1.9; med 0.04212, IQR 0.4","0.1458 +/- 0.27; med 0.02083, IQR 0.042","0.6708 +/- 0.23; med 0.7823, IQR 0.036","2.041e+04 +/- 3.5e+04; med 3836, IQR 6.6e+03","0.9667 +/- 0.035; med 0.9583, IQR 0.042","0.1158 +/- 0.027; med 0.1146, IQR 0.021","1.973 +/- 1.6; med 1.379, IQR 0.6","287.4 +/- 1.3e+02; med 260, IQR 2.1e+02","417.3 +/- 8.7e+02; med 11.06, IQR 94","1.196 +/- 0.073; med 1.239, IQR 0.13","4.802 +/- 0.26; med 4.915, IQR 0.053","0.008716 +/- 0.015; med 0.001619, IQR 0.0029","0.04703 +/- 0.038; med 0.05059, IQR 0.04","0.7434 +/- 0.035; med 0.7391, IQR 0.039","3.783e+06 +/- 2e+06; med 4.239e+06, IQR 1.7e+06","0.8479 +/- 0.079; med 0.8269, IQR 0.049","0.1107 +/- 0.019; med 0.1185, IQR 0.022","9.493e+05 +/- 2e+06; med 4.458e+04, IQR 1.5e+05","1e+04 +/- 0; med 1e+04, IQR 0","99.91 +/- 1.6e+02; med 21.58, IQR 50","0.04137 +/- 0.08; med 0.006348, IQR 0.011","0.7533 +/- 0.068; med 0.7825, IQR 0.0056","7.335e+04 +/- 2.4e+04; med 7.99e+04, IQR 3.9e+03","0.02546 +/- 0.0011; med 0.02541, IQR 0.00068","0.0008274 +/- 0.0017; med 7.07e-05, IQR 0.00015","0.001835 +/- 0.0037; med 0.0002095, IQR 0.00037","0.9658 +/- 0.028; med 0.9671, IQR 0.018","0.1183 +/- 0.03; med 0.117, IQR 0.032","0.05191 +/- 1.9; med -0.6878, IQR 1.2","1.438 +/- 2.7; med 0.05342, IQR 0.75","3.438 +/- 6.1; med 0.1751, IQR 2.4","7.892 +/- 14; med 0.5252, IQR 6","5389 +/- 2.7e+03; med 6771, IQR 3.8e+03","4 +/- 0; med 4, IQR 0","4 +/- 0; med 4, IQR 0","710.6 +/- 2e+02; med 723.6, IQR 3.1e+02"
strict_path_ood,monotonic,nonproportional,yes,s4_t2,4,2,0.001,"0.828 +/- 0.045; med 0.8454, IQR 0.059","0.858 +/- 0.046; med 0.8417, IQR 0.038","0.1618 +/- 0.028; med 0.1717, IQR 0.043","1.002 +/- 0.97; med 1.308, IQR 1.3","0.1333 +/- 0.1; med 0.125, IQR 0.1","0.6865 +/- 0.074; med 0.6833, IQR 0.052","1.852e+04 +/- 1.7e+04; med 1.5e+04, IQR 3e+04","1 +/- 0; med 1, IQR 0","0.1813 +/- 0.038; med 0.2021, IQR 0.031","2.342 +/- 0.97; med 2.065, IQR 0.3","683 +/- 4.8e+02; med 661.5, IQR 5.7e+02","912.2 +/- 1.5e+03; med 297, IQR 5.8e+02","0.9949 +/- 0.02; med 0.9912, IQR 0.018","2.73 +/- 0.057; med 2.741, IQR 0.02","0.005075 +/- 0.004; med 0.005152, IQR 0.007","0.03325 +/- 0.025; med 0.0252, IQR 0.022","0.7581 +/- 0.022; med 0.7642, IQR 0.013","3.935e+06 +/- 8.5e+05; med 3.785e+06, IQR 1.4e+06","0.8397 +/- 0.034; med 0.8432, IQR 0.014","0.09888 +/- 0.033; med 0.1103, IQR 0.046","8.444e+05 +/- 1.5e+06; med 2.956e+05, IQR 1.9e+05","1e+04 +/- 0; med 1e+04, IQR 0","54.93 +/- 67; med 29.64, IQR 36","0.04902 +/- 0.052; med 0.04492, IQR 0.067","0.752 +/- 0.036; med 0.7472, IQR 0.042","7.787e+04 +/- 4.1e+04; med 7.767e+04, IQR 4.1e+04","0.03032 +/- 0.0012; med 0.03022, IQR 0.0015","0.001294 +/- 0.0014; med 0.001071, IQR 0.0021","0.00301 +/- 0.0032; med 0.002363, IQR 0.0051","0.9503 +/- 0.023; med 0.9411, IQR 0.039","0.1157 +/- 0.044; med 0.12, IQR 0.013","0.2402 +/- 1.2; med -0.2411, IQR 1.4","1.365 +/- 1.9; med 0.9475, IQR 0.89","3.375 +/- 4; med 2.893, IQR 2.7","7.892 +/- 8.7; med 7.285, IQR 6.7","4796 +/- 2.6e+03; med 4861, IQR 2.4e+03","4 +/- 0; med 4, IQR 0","4 +/- 0; med 4, IQR 0","877 +/- 85; med 835.1, IQR 44"
strict_path_ood,monotonic,pre_stress,yes,s4_t2,4,2,0.001,"1.244 +/- 0.47; med 1.14, IQR 0.62","0.8906 +/- 0.034; med 0.8895, IQR 0.026","0.1853 +/- 0.035; med 0.1698, IQR 0.06","1.023 +/- 0.97; med 1.112, IQR 1.7","0.1542 +/- 0.16; med 0.0625, IQR 0.25","0.6552 +/- 0.13; med 0.7302, IQR 0.2","4.507e+04 +/- 5.5e+04; med 1.45e+04, IQR 7.2e+04","0.9417 +/- 0.07; med 0.9583, IQR 0.083","0.1158 +/- 0.042; med 0.1188, IQR 0.065","3.153 +/- 3; med 1.977, IQR 4","448.6 +/- 4.5e+02; med 156.1, IQR 6.5e+02","703.9 +/- 1.4e+03; med 9.519, IQR 2e+02","0.6227 +/- 0.046; med 0.6234, IQR 0.071","0.2596 +/- 0.017; med 0.2562, IQR 0.014","0.006423 +/- 0.0047; med 0.004634, IQR 0.0056","0.0874 +/- 0.051; med 0.07273, IQR 0.021","0.7043 +/- 0.051; med 0.717, IQR 0.012","1.242e+06 +/- 2.8e+05; med 1.099e+06, IQR 1.9e+05","0.9258 +/- 0.04; med 0.9084, IQR 0.04","0.1178 +/- 0.024; med 0.1253, IQR 0.014","1.437e+05 +/- 2.1e+05; med 8.245e+04, IQR 1.3e+05","9737 +/- 5.9e+02; med 1e+04, IQR 0","66.68 +/- 97; med 25.09, IQR 60","0.05059 +/- 0.059; med 0.02539, IQR 0.084","0.7471 +/- 0.045; med 0.765, IQR 0.076","1.097e+04 +/- 3.2e+03; med 1.091e+04, IQR 3.2e+03","0.01212 +/- 0.00068; med 0.01227, IQR 0.00073","0.001005 +/- 0.0011; med 0.0004639, IQR 0.0021","0.002257 +/- 0.0026; med 0.001034, IQR 0.0048","0.9459 +/- 0.045; med 0.9603, IQR 0.034","0.1145 +/- 0.023; med 0.1098, IQR 0.021","-0.4675 +/- 2.2; med -1.315, IQR 1.2","1.509 +/- 3.2; med 0.02861, IQR 0.31","3.624 +/- 7.6; med 0.1023, IQR 0.64","8.302 +/- 17; med 0.3027, IQR 1.3","2029 +/- 1.4e+03; med 1730, IQR 1e+03","4 +/- 0; med 4, IQR 0","4 +/- 0; med 4, IQR 0","397.9 +/- 1e+02; med 387.9, IQR 1.2e+02"
strict_path_ood,monotonic,random_amplitude,yes,s4_t2,4,2,0.001,"0.8781 +/- 0.13; med 0.9111, IQR 0.044","0.8485 +/- 0.036; med 0.8415, IQR 0.067","0.2182 +/- 0.031; med 0.2257, IQR 0.035","1.141 +/- 1.1; med 1.17, IQR 1.6","0.1542 +/- 0.15; med 0.1667, IQR 0.17","0.6667 +/- 0.13; med 0.6677, IQR 0.11","1.033e+05 +/- 1.4e+05; med 1.669e+04, IQR 1.7e+05","0.9667 +/- 0.046; med 1, IQR 0.083","0.1546 +/- 0.04; med 0.1354, IQR 0.062","2.707 +/- 1.8; med 2.136, IQR 0.93","804 +/- 7.1e+02; med 398.6, IQR 1.1e+03","1708 +/- 3.4e+03; med 35.53, IQR 7.2e+02","0.9363 +/- 0.022; med 0.9348, IQR 0.0063","0.2533 +/- 0.01; med 0.2495, IQR 0.015","0.006151 +/- 0.005; med 0.007932, IQR 0.0074","0.05902 +/- 0.035; med 0.05868, IQR 0.031","0.7329 +/- 0.032; med 0.737, IQR 0.028","2.902e+06 +/- 1.4e+06; med 2.864e+06, IQR 2.1e+06","0.8594 +/- 0.058; med 0.8253, IQR 0.07","0.1029 +/- 0.022; med 0.1126, IQR 0.01","6.289e+05 +/- 1.1e+06; med 1.831e+05, IQR 3.6e+05","1e+04 +/- 0; med 1e+04, IQR 0","74.23 +/- 98; med 13.19, IQR 1.1e+02","0.05182 +/- 0.054; med 0.05387, IQR 0.067","0.7444 +/- 0.048; med 0.7511, IQR 0.056","5.363e+04 +/- 2.1e+04; med 6.096e+04, IQR 4e+04","0.02585 +/- 0.0011; med 0.0262, IQR 0.0019","0.00153 +/- 0.0016; med 0.001088, IQR 0.0028","0.003445 +/- 0.0036; med 0.002633, IQR 0.0061","0.9039 +/- 0.16; med 0.9648, IQR 0.058","0.17 +/- 0.053; med 0.1517, IQR 0.069","1.933 +/- 3.1; med 1.415, IQR 3.4","2.223 +/- 3.1; med 0.1277, IQR 4.1","5.28 +/- 7.1; med 0.5245, IQR 11","12.22 +/- 16; med 1.618, IQR 26","3795 +/- 2.1e+03; med 4523, IQR 2.5e+03","4 +/- 0; med 4, IQR 0","4 +/- 0; med 4, IQR 0","1380 +/- 4e+02; med 1241, IQR 1.1e+02"
strict_path_ood,monotonic,unload_reload,yes,s4_t2,4,2,0.001,"0.8465 +/- 0.087; med 0.8442, IQR 0.06","0.8491 +/- 0.029; med 0.837, IQR 0.05","0.2036 +/- 0.054; med 0.1887, IQR 0.063","1.275 +/- 1.1; med 2.074, IQR 2","0.1708 +/- 0.12; med 0.2083, IQR 0.21","0.6469 +/- 0.11; med 0.6312, IQR 0.18","1.071e+04 +/- 6.4e+03; med 8980, IQR 3.8e+03","0.9583 +/- 0.072; med 1, IQR 0.042","0.1629 +/- 0.063; med 0.1917, IQR 0.052","2.177 +/- 1.6; med 1.837, IQR 1.9","431.2 +/- 2.9e+02; med 405.7, IQR 58","831.8 +/- 1.3e+03; med 38.18, IQR 9.9e+02","0.9715 +/- 0.037; med 0.9836, IQR 0.056","0.2153 +/- 0.017; med 0.2148, IQR 0.012","0.00707 +/- 0.0061; med 0.00455, IQR 0.0098","0.05414 +/- 0.029; med 0.06113, IQR 0.037","0.7368 +/- 0.027; med 0.7306, IQR 0.031","3.114e+06 +/- 1.3e+06; med 2.477e+06, IQR 1.9e+06","0.852 +/- 0.076; med 0.8332, IQR 0.041","0.1319 +/- 0.023; med 0.1189, IQR 0.029","5.412e+05 +/- 1.1e+06; med 3.634e+04, IQR 1.9e+05","9361 +/- 1.4e+03; med 1e+04, IQR 0","70.79 +/- 95; med 45.54, IQR 52","0.06696 +/- 0.059; med 0.1019, IQR 0.11","0.7257 +/- 0.055; med 0.6981, IQR 0.099","3.232e+04 +/- 1.4e+04; med 3.644e+04, IQR 1.9e+04","0.01964 +/- 0.0007; med 0.01974, IQR 0.00098","0.00148 +/- 0.0013; med 0.001817, IQR 0.0026","0.003203 +/- 0.0029; med 0.003932, IQR 0.0056","0.9438 +/- 0.053; med 0.9593, IQR 0.08","0.137 +/- 0.049; med 0.1272, IQR 0.068","0.1625 +/- 1.4; med 0.169, IQR 1.9","1.514 +/- 2.1; med 0.05661, IQR 2.6","3.255 +/- 4.5; med 0.191, IQR 5.7","7.052 +/- 9.6; med 0.5633, IQR 13","2563 +/- 1.3e+03; med 1978, IQR 1.2e+02","4 +/- 0; med 4, IQR 0","4 +/- 0; med 4, IQR 0","758.8 +/- 2.2e+02; med 793.4, IQR 2.9e+02"
strict_path_ood,monotonic,cyclic,yes,s6_t3,6,3,0.001,"0.9002 +/- 0.033; med 0.8928, IQR 0.023","0.904 +/- 0.034; med 0.895, IQR 0.03","0.1833 +/- 0.024; med 0.1813, IQR 0.0078","0.8707 +/- 1.4; med 0.1464, IQR 0.81","0.1208 +/- 0.18; med 0.04167, IQR 0.063","0.6948 +/- 0.14; med 0.751, IQR 0.052","1.024e+05 +/- 1e+05; med 6.305e+04, IQR 1.6e+05","0.9917 +/- 0.019; med 1, IQR 0","0.1792 +/- 0.032; med 0.2021, IQR 0.052","3.324 +/- 2; med 2.591, IQR 1","1921 +/- 1.7e+03; med 1267, IQR 2.6e+03","3549 +/- 7.1e+03; med 604.8, IQR 8.3e+02","1.191 +/- 0.064; med 1.206, IQR 0.096","4.774 +/- 0.23; med 4.885, IQR 0.23","0.007845 +/- 0.011; med 0.002006, IQR 0.0065","0.04486 +/- 0.031; med 0.04937, IQR 0.051","0.7462 +/- 0.028; med 0.74, IQR 0.049","3.663e+06 +/- 1.8e+06; med 3.401e+06, IQR 1.8e+06","0.8427 +/- 0.076; med 0.8158, IQR 0.047","0.1036 +/- 0.019; med 0.1076, IQR 0.011","9.6e+05 +/- 2e+06; med 5.64e+04, IQR 2.2e+05","1e+04 +/- 0; med 1e+04, IQR 0","102.2 +/- 1.3e+02; med 19.24, IQR 1.3e+02","0.03516 +/- 0.061; med 0.005371, IQR 0.021","0.76 +/- 0.047; med 0.7836, IQR 0.018","7.225e+04 +/- 2.1e+04; med 7.864e+04, IQR 1.4e+04","0.02548 +/- 0.00077; med 0.0253, IQR 0.00064","0.0006024 +/- 0.0011; med 6.03e-05, IQR 0.00027","0.001374 +/- 0.0024; med 0.0001757, IQR 0.00062","0.9662 +/- 0.04; med 0.9837, IQR 0.041","0.1506 +/- 0.024; med 0.1469, IQR 0.022","0.3906 +/- 1.7; med -0.261, IQR 2","1.363 +/- 2; med 0.08887, IQR 2","3.496 +/- 5.2; med 0.2904, IQR 4.6","8.322 +/- 12; med 0.8291, IQR 11","5252 +/- 2.5e+03; med 4122, IQR 3.7e+03","4 +/- 0; med 4, IQR 0","4 +/- 0; med 4, IQR 0","982.4 +/- 2.2e+02; med 1006, IQR 2.7e+02"
