Case,Family,Mesh,Nodes,Elements,Protocol,Train paths,Eval path,Model,Seeds,Source,Disp. rel. L2,Disp. rel. L2 mean,History rel. L2,History rel. L2 mean,QP hist. rel. L2,QP hist. rel. L2 mean,QP hist-inc. rel. L2,QP hist-inc. rel. L2 mean,Reversal hist-inc. rel. L2,Reversal hist-inc. rel. L2 mean,Reversal yield MAE,Reversal yield MAE mean,Yield RMS,Yield RMS mean,Plastic-work viol. target-norm.,Plastic-work viol. target-norm. mean,FEM residual rel. RMS,FEM residual rel. RMS mean,FEM energy rel. err.,FEM energy rel. err. mean
curved_hole_14x11,curved_hole,14x11,532--533,236--237,curriculum,"monotonic,unload_reload",cyclic,hgo_qp_thermo_hard,5,10_results\reports\level4_multigeometry_multipath_qp_hgo\curved_hole_14x11\curriculum\summary.json,"63.95 +/- 15.6; med 64.11, IQR 26.9",63.94894104,"1.07 +/- 0.00932; med 1.075, IQR 0.00494",1.07011027336,"1.759 +/- 0.0132; med 1.766, IQR 0.00905",1.75850923061,"0.9993 +/- 0.0014; med 0.9999, IQR 0.000411",0.999317789078,"1.002 +/- 0.00218; med 1.001, IQR 0.00097",1.00158911943,"0.4106 +/- 0.00163; med 0.4097, IQR 0.000853",0.410552865267,"1.781e-05 +/- 1.65e-05; med 1.017e-05, IQR 1.45e-05",1.78064741931e-05,"0 +/- 0; med 0, IQR 0",0,"123.1 +/- 91.9; med 123.3, IQR 58.9",123.126762199,"7508 +/- 9.8e+03; med 2923, IQR 4.01e+03",7508.37738342
curved_hole_14x11,curved_hole,14x11,532--533,236--237,curriculum,"monotonic,unload_reload",monotonic,hgo_qp_thermo_hard,5,10_results\reports\level4_multigeometry_multipath_qp_hgo\curved_hole_14x11\curriculum\summary.json,"74.83 +/- 18.3; med 74.89, IQR 31.5",74.829347229,"1.434 +/- 0.00954; med 1.438, IQR 0.00492",1.43366699219,"2.248 +/- 0.0155; med 2.257, IQR 0.0108",2.24846615791,"1.003 +/- 0.00459; med 1.001, IQR 0.000531",1.00271377563,"0 +/- 0; med 0, IQR 0",0,"0 +/- 0; med 0, IQR 0",0,"1.781e-05 +/- 1.65e-05; med 1.017e-05, IQR 1.45e-05",1.78066981562e-05,"0 +/- 0; med 0, IQR 0",0,"118.2 +/- 88.3; med 118.3, IQR 56.6",118.211534882,"142.3 +/- 147; med 116.5, IQR 85.8",142.335953331
curved_hole_14x11,curved_hole,14x11,532--533,236--237,curriculum,"monotonic,unload_reload",nonproportional,hgo_qp_thermo_hard,5,10_results\reports\level4_multigeometry_multipath_qp_hgo\curved_hole_14x11\curriculum\summary.json,"60.19 +/- 14.7; med 60.12, IQR 25.3",60.1921974182,"0.907 +/- 0.00603; med 0.9097, IQR 0.00314",0.907007193565,"1.592 +/- 0.0102; med 1.598, IQR 0.00857",1.59243586063,"1.003 +/- 0.00479; med 1.001, IQR 0.00179",1.00315650702,"0 +/- 0; med 0, IQR 0",0,"0 +/- 0; med 0, IQR 0",0,"1.781e-05 +/- 1.65e-05; med 1.017e-05, IQR 1.45e-05",1.78065558714e-05,"0 +/- 0; med 0, IQR 0",0,"95.09 +/- 70.9; med 95.27, IQR 45.5",95.0910934448,"186.8 +/- 217; med 113.7, IQR 129",186.830594635
curved_hole_14x11,curved_hole,14x11,532--533,236--237,curriculum,"monotonic,unload_reload",unload_reload,hgo_qp_thermo_hard,5,10_results\reports\level4_multigeometry_multipath_qp_hgo\curved_hole_14x11\curriculum\summary.json,"67.47 +/- 16.5; med 67.47, IQR 28.4",67.4682136536,"1.177 +/- 0.008; med 1.181, IQR 0.00414",1.17700695992,"1.914 +/- 0.0132; med 1.921, IQR 0.00964",1.91405067444,"1.002 +/- 0.00402; med 1.001, IQR 0.000882",1.00248328447,"1.004 +/- 0.00544; med 1.001, IQR 0.00328",1.00374305248,"0.5332 +/- 0.000669; med 0.5336, IQR 0.000328",0.53323251009,"1.781e-05 +/- 1.65e-05; med 1.017e-05, IQR 1.45e-05",1.78063815213e-05,"0 +/- 0; med 0, IQR 0",0,"110.6 +/- 82.6; med 110.8, IQR 52.9",110.622403336,"167.3 +/- 186; med 122.2, IQR 115",167.254968071
curved_hole_14x11,curved_hole,14x11,532--533,236--237,strict,monotonic,cyclic,hgo_qp_thermo_hard,5,10_results\reports\level4_multigeometry_multipath_qp_hgo\curved_hole_14x11\strict\summary.json,"64.23 +/- 15.9; med 63.85, IQR 26.9",64.2322914124,"1.07 +/- 0.00701; med 1.07, IQR 0.015",1.06997914314,"1.758 +/- 0.00994; med 1.756, IQR 0.0213",1.75812482834,"0.9988 +/- 0.00162; med 0.9999, IQR 0.0028",0.998794949055,"1.001 +/- 0.00141; med 1.001, IQR 0.00281",1.00142765045,"0.4106 +/- 0.00113; med 0.4106, IQR 0.00248",0.410565918684,"2.014e-05 +/- 1.66e-05; med 2.462e-05, IQR 3.54e-05",2.01382102205e-05,"0 +/- 0; med 0, IQR 0",0,"123.4 +/- 92.2; med 123.1, IQR 59.3",123.362738037,"7540 +/- 9.86e+03; med 2948, IQR 3.99e+03",7540.31414642
curved_hole_14x11,curved_hole,14x11,532--533,236--237,strict,monotonic,monotonic,hgo_qp_thermo_hard,5,10_results\reports\level4_multigeometry_multipath_qp_hgo\curved_hole_14x11\strict\summary.json,"75.16 +/- 18.6; med 74.59, IQR 31.5",75.1612838745,"1.434 +/- 0.00703; med 1.433, IQR 0.0147",1.43373372555,"2.248 +/- 0.0115; med 2.245, IQR 0.0244",2.24816913605,"1.003 +/- 0.00316; med 1.001, IQR 0.00618",1.00275548697,"0 +/- 0; med 0, IQR 0",0,"0 +/- 0; med 0, IQR 0",0,"2.014e-05 +/- 1.66e-05; med 2.462e-05, IQR 3.54e-05",2.01384549015e-05,"0 +/- 0; med 0, IQR 0",0,"118.4 +/- 88.6; med 118.3, IQR 56.8",118.440330887,"142.9 +/- 149; med 116.8, IQR 85.7",142.902255058
curved_hole_14x11,curved_hole,14x11,532--533,236--237,strict,monotonic,nonproportional,hgo_qp_thermo_hard,5,10_results\reports\level4_multigeometry_multipath_qp_hgo\curved_hole_14x11\strict\summary.json,"60.46 +/- 15; med 59.88, IQR 25.3",60.4594711304,"0.907 +/- 0.00454; med 0.9068, IQR 0.00942",0.907044732571,"1.592 +/- 0.00776; med 1.589, IQR 0.0162",1.5921569109,"1.003 +/- 0.00278; med 1.002, IQR 0.0057",1.00295760632,"0 +/- 0; med 0, IQR 0",0,"0 +/- 0; med 0, IQR 0",0,"2.014e-05 +/- 1.66e-05; med 2.461e-05, IQR 3.54e-05",2.01381966818e-05,"0 +/- 0; med 0, IQR 0",0,"95.28 +/- 71.1; med 95.28, IQR 45.6",95.2750762939,"187.6 +/- 219; med 114.2, IQR 129",187.570222092
curved_hole_14x11,curved_hole,14x11,532--533,236--237,strict,monotonic,unload_reload,hgo_qp_thermo_hard,5,10_results\reports\level4_multigeometry_multipath_qp_hgo\curved_hole_14x11\strict\summary.json,"67.77 +/- 16.8; med 67.2, IQR 28.4",67.767514801,"1.177 +/- 0.00593; med 1.177, IQR 0.0124",1.17705070972,"1.914 +/- 0.0098; med 1.911, IQR 0.0208",1.91374526024,"1.002 +/- 0.00268; med 1.001, IQR 0.00554",1.00244147778,"1.004 +/- 0.00386; med 1.003, IQR 0.00745",1.00412232876,"0.5332 +/- 0.000438; med 0.5332, IQR 0.000951",0.533246040344,"2.014e-05 +/- 1.66e-05; med 2.462e-05, IQR 3.54e-05",2.01383373422e-05,"0 +/- 0; med 0, IQR 0",0,"110.8 +/- 82.8; med 110.7, IQR 53.2",110.835073662,"168 +/- 188; med 122.7, IQR 114",167.954579735
curved_hole_14x11,curved_hole,14x11,532--533,236--237,upper_bound,"monotonic,unload_reload,cyclic,nonproportional",cyclic,hgo_qp_thermo_hard,5,10_results\reports\level4_multigeometry_multipath_qp_hgo\curved_hole_14x11\upper_bound\summary.json,"15.43 +/- 7.17; med 11.46, IQR 12.4",15.4301020622,"1.075 +/- 0.00306; med 1.077, IQR 0.00278",1.07491598129,"1.765 +/- 0.00535; med 1.768, IQR 0.00427",1.76513915062,"0.9999 +/- 0.000165; med 0.9999, IQR 0.00027",0.999947798252,"1 +/- 0.000685; med 1, IQR 0.000646",1.00040971041,"0.4097 +/- 0.000523; med 0.4094, IQR 0.000525",0.409702062607,"8.771e-06 +/- 9.26e-06; med 3.858e-06, IQR 1.17e-05",8.77092900282e-06,"0 +/- 0; med 0, IQR 0",0,"47.52 +/- 28.7; med 29.28, IQR 27.2",47.5164932251,"987.6 +/- 1.02e+03; med 536.8, IQR 782",987.583435059
curved_hole_14x11,curved_hole,14x11,532--533,236--237,upper_bound,"monotonic,unload_reload,cyclic,nonproportional",monotonic,hgo_qp_thermo_hard,5,10_results\reports\level4_multigeometry_multipath_qp_hgo\curved_hole_14x11\upper_bound\summary.json,"18.03 +/- 8.41; med 13.34, IQR 14.5",18.0304478645,"1.439 +/- 0.00321; med 1.44, IQR 0.00298",1.43862822056,"2.256 +/- 0.00637; med 2.26, IQR 0.0051",2.25625343323,"1 +/- 0.000442; med 1, IQR 0.000795",1.00031601191,"0 +/- 0; med 0, IQR 0",0,"0 +/- 0; med 0, IQR 0",0,"8.771e-06 +/- 9.26e-06; med 3.859e-06, IQR 1.17e-05",8.77125030456e-06,"0 +/- 0; med 0, IQR 0",0,"45.45 +/- 27.6; med 27.62, IQR 26.2",45.4484268188,"20.35 +/- 16.4; med 15.08, IQR 14.5",20.3475930214
curved_hole_14x11,curved_hole,14x11,532--533,236--237,upper_bound,"monotonic,unload_reload,cyclic,nonproportional",nonproportional,hgo_qp_thermo_hard,5,10_results\reports\level4_multigeometry_multipath_qp_hgo\curved_hole_14x11\upper_bound\summary.json,"14.49 +/- 6.77; med 10.72, IQR 11.7",14.4933916092,"0.9101 +/- 0.00206; med 0.9113, IQR 0.00189",0.910139799118,"1.598 +/- 0.00488; med 1.6, IQR 0.00341",1.59750006199,"1.001 +/- 0.000924; med 1, IQR 0.000843",1.00067564249,"0 +/- 0; med 0, IQR 0",0,"0 +/- 0; med 0, IQR 0",0,"8.771e-06 +/- 9.26e-06; med 3.859e-06, IQR 1.17e-05",8.77127259855e-06,"0 +/- 0; med 0, IQR 0",0,"36.86 +/- 22; med 23.49, IQR 21",36.8589588165,"26.48 +/- 26.2; med 11.94, IQR 19.8",26.4843320847
curved_hole_14x11,curved_hole,14x11,532--533,236--237,upper_bound,"monotonic,unload_reload,cyclic,nonproportional",unload_reload,hgo_qp_thermo_hard,5,10_results\reports\level4_multigeometry_multipath_qp_hgo\curved_hole_14x11\upper_bound\summary.json,"16.24 +/- 7.57; med 12, IQR 13",16.239600563,"1.181 +/- 0.0027; med 1.183, IQR 0.0025",1.18116297722,"1.921 +/- 0.00563; med 1.924, IQR 0.00435",1.92061185837,"1 +/- 0.000508; med 1, IQR 0.00062",1.0003562212,"1.001 +/- 0.00126; med 1, IQR 0.00109",1.00102624893,"0.5336 +/- 0.00022; med 0.5337, IQR 0.000231",0.533579087257,"8.771e-06 +/- 9.26e-06; med 3.859e-06, IQR 1.17e-05",8.77089881897e-06,"0 +/- 0; med 0, IQR 0",0,"42.71 +/- 25.7; med 26.55, IQR 24.4",42.7148609161,"23.2 +/- 21.3; med 10.83, IQR 15.5",23.1956804276
