Ablation,Ablation id,Solver mode,Newton damping,Newton steps,Line search,Regularization,Model,Load path,Metric,Metric label,Mean,Std,Median,IQR,Seeds,Source
Multi-step damped Newton,multi_step_damped_newton,dense_newton,0.5,3,False,1e-06,hgo_qp_true_j2,nonproportional,fem_newton_residual_ratio,Newton residual ratio,0.125,0,0.125,0,1,10_results\reports\solver_in_loop_ablation_newton_diag_smoke\multi_step_damped_newton\summary.json
Multi-step damped Newton,multi_step_damped_newton,dense_newton,0.5,3,False,1e-06,hgo_qp_true_j2,nonproportional,fem_newton_residual_decrease_fraction,Newton residual decrease,0.875,0,0.875,0,1,10_results\reports\solver_in_loop_ablation_newton_diag_smoke\multi_step_damped_newton\summary.json
Multi-step damped Newton,multi_step_damped_newton,dense_newton,0.5,3,False,1e-06,hgo_qp_true_j2,nonproportional,fem_newton_step_residual_decrease_fraction,Newton step residual decrease,0.5,0,0.5,0,1,10_results\reports\solver_in_loop_ablation_newton_diag_smoke\multi_step_damped_newton\summary.json
Multi-step damped Newton,multi_step_damped_newton,dense_newton,0.5,3,False,1e-06,hgo_qp_true_j2,nonproportional,fem_newton_correction_relative_norm,Newton correction rel norm,11.5923,0,11.5923,0,1,10_results\reports\solver_in_loop_ablation_newton_diag_smoke\multi_step_damped_newton\summary.json
Multi-step damped Newton,multi_step_damped_newton,dense_newton,0.5,3,False,1e-06,hgo_qp_true_j2,nonproportional,fem_newton_accepted_damping,Newton accepted damping,0.5,0,0.5,0,1,10_results\reports\solver_in_loop_ablation_newton_diag_smoke\multi_step_damped_newton\summary.json
Multi-step damped Newton,multi_step_damped_newton,dense_newton,0.5,3,False,1e-06,hgo_qp_true_j2,nonproportional,fem_newton_convergence_rate,Newton convergence rate,0,0,0,0,1,10_results\reports\solver_in_loop_ablation_newton_diag_smoke\multi_step_damped_newton\summary.json
Multi-step damped Newton,multi_step_damped_newton,dense_newton,0.5,3,False,1e-06,hgo_qp_true_j2,nonproportional,fem_newton_failure_rate,Newton failure rate,0,0,0,0,1,10_results\reports\solver_in_loop_ablation_newton_diag_smoke\multi_step_damped_newton\summary.json
Multi-step line-search Newton,multi_step_line_search_newton,dense_newton,1.0,3,True,1e-06,hgo_qp_true_j2,cyclic,displacement_relative_l2,rollout disp rel L2,809.976,0,809.976,0,1,10_results\reports\solver_in_loop_ablation_newton_diag_smoke\multi_step_line_search_newton\summary.json
Multi-step line-search Newton,multi_step_line_search_newton,dense_newton,1.0,3,True,1e-06,hgo_qp_true_j2,cyclic,final_displacement_relative_l2,final disp rel L2,1654.63,0,1654.63,0,1,10_results\reports\solver_in_loop_ablation_newton_diag_smoke\multi_step_line_search_newton\summary.json
Multi-step line-search Newton,multi_step_line_search_newton,dense_newton,1.0,3,True,1e-06,hgo_qp_true_j2,cyclic,qp_history_relative_l2,QP history rel L2,1.76502,0,1.76502,0,1,10_results\reports\solver_in_loop_ablation_newton_diag_smoke\multi_step_line_search_newton\summary.json
Multi-step line-search Newton,multi_step_line_search_newton,dense_newton,1.0,3,True,1e-06,hgo_qp_true_j2,cyclic,qp_history_increment_relative_l2,QP history-inc rel L2,1.00095,0,1.00095,0,1,10_results\reports\solver_in_loop_ablation_newton_diag_smoke\multi_step_line_search_newton\summary.json
Multi-step line-search Newton,multi_step_line_search_newton,dense_newton,1.0,3,True,1e-06,hgo_qp_true_j2,cyclic,qp_reversal_eqp_increment_relative_l2,QP reversal eqp-inc rel L2,6.7514,0,6.7514,0,1,10_results\reports\solver_in_loop_ablation_newton_diag_smoke\multi_step_line_search_newton\summary.json
Multi-step line-search Newton,multi_step_line_search_newton,dense_newton,1.0,3,True,1e-06,hgo_qp_true_j2,cyclic,qp_reversal_plastic_work_increment_relative_l2,QP reversal work-inc rel L2,7.95728,0,7.95728,0,1,10_results\reports\solver_in_loop_ablation_newton_diag_smoke\multi_step_line_search_newton\summary.json
Multi-step line-search Newton,multi_step_line_search_newton,dense_newton,1.0,3,True,1e-06,hgo_qp_true_j2,cyclic,qp_reversal_yield_flag_mae,QP reversal yield MAE,0.490385,0,0.490385,0,1,10_results\reports\solver_in_loop_ablation_newton_diag_smoke\multi_step_line_search_newton\summary.json
Multi-step line-search Newton,multi_step_line_search_newton,dense_newton,1.0,3,True,1e-06,hgo_qp_true_j2,cyclic,fem_residual_relative_rms,FEM residual rel RMS,36.5367,0,36.5367,0,1,10_results\reports\solver_in_loop_ablation_newton_diag_smoke\multi_step_line_search_newton\summary.json
Multi-step line-search Newton,multi_step_line_search_newton,dense_newton,1.0,3,True,1e-06,hgo_qp_true_j2,cyclic,fem_energy_relative_error,FEM energy rel err,3377.26,0,3377.26,0,1,10_results\reports\solver_in_loop_ablation_newton_diag_smoke\multi_step_line_search_newton\summary.json
Multi-step line-search Newton,multi_step_line_search_newton,dense_newton,1.0,3,True,1e-06,hgo_qp_true_j2,cyclic,fem_solver_linearized_residual_relative_rms,FEM tangent-solver rel RMS,1081.69,0,1081.69,0,1,10_results\reports\solver_in_loop_ablation_newton_diag_smoke\multi_step_line_search_newton\summary.json
Multi-step line-search Newton,multi_step_line_search_newton,dense_newton,1.0,3,True,1e-06,hgo_qp_true_j2,cyclic,fem_newton_initial_residual_relative_rms,Newton initial residual rel RMS,32.2741,0,32.2741,0,1,10_results\reports\solver_in_loop_ablation_newton_diag_smoke\multi_step_line_search_newton\summary.json
Multi-step line-search Newton,multi_step_line_search_newton,dense_newton,1.0,3,True,1e-06,hgo_qp_true_j2,cyclic,fem_newton_final_residual_relative_rms,Newton final residual rel RMS,1.0035e-08,0,1.0035e-08,0,1,10_results\reports\solver_in_loop_ablation_newton_diag_smoke\multi_step_line_search_newton\summary.json
Multi-step line-search Newton,multi_step_line_search_newton,dense_newton,1.0,3,True,1e-06,hgo_qp_true_j2,cyclic,fem_newton_residual_ratio,Newton residual ratio,2.61785e-10,0,2.61785e-10,0,1,10_results\reports\solver_in_loop_ablation_newton_diag_smoke\multi_step_line_search_newton\summary.json
Multi-step line-search Newton,multi_step_line_search_newton,dense_newton,1.0,3,True,1e-06,hgo_qp_true_j2,cyclic,fem_newton_residual_decrease_fraction,Newton residual decrease,1,0,1,0,1,10_results\reports\solver_in_loop_ablation_newton_diag_smoke\multi_step_line_search_newton\summary.json
Multi-step line-search Newton,multi_step_line_search_newton,dense_newton,1.0,3,True,1e-06,hgo_qp_true_j2,cyclic,fem_newton_step_residual_decrease_fraction,Newton step residual decrease,0.997791,0,0.997791,0,1,10_results\reports\solver_in_loop_ablation_newton_diag_smoke\multi_step_line_search_newton\summary.json
Multi-step line-search Newton,multi_step_line_search_newton,dense_newton,1.0,3,True,1e-06,hgo_qp_true_j2,cyclic,fem_newton_correction_relative_norm,Newton correction rel norm,15.5599,0,15.5599,0,1,10_results\reports\solver_in_loop_ablation_newton_diag_smoke\multi_step_line_search_newton\summary.json
Multi-step line-search Newton,multi_step_line_search_newton,dense_newton,1.0,3,True,1e-06,hgo_qp_true_j2,cyclic,fem_newton_accepted_damping,Newton accepted damping,1,0,1,0,1,10_results\reports\solver_in_loop_ablation_newton_diag_smoke\multi_step_line_search_newton\summary.json
Multi-step line-search Newton,multi_step_line_search_newton,dense_newton,1.0,3,True,1e-06,hgo_qp_true_j2,cyclic,fem_newton_convergence_rate,Newton convergence rate,1,0,1,0,1,10_results\reports\solver_in_loop_ablation_newton_diag_smoke\multi_step_line_search_newton\summary.json
Multi-step line-search Newton,multi_step_line_search_newton,dense_newton,1.0,3,True,1e-06,hgo_qp_true_j2,cyclic,fem_newton_failure_rate,Newton failure rate,0,0,0,0,1,10_results\reports\solver_in_loop_ablation_newton_diag_smoke\multi_step_line_search_newton\summary.json
Multi-step line-search Newton,multi_step_line_search_newton,dense_newton,1.0,3,True,1e-06,hgo_qp_true_j2,monotonic,displacement_relative_l2,rollout disp rel L2,1212.07,0,1212.07,0,1,10_results\reports\solver_in_loop_ablation_newton_diag_smoke\multi_step_line_search_newton\summary.json
Multi-step line-search Newton,multi_step_line_search_newton,dense_newton,1.0,3,True,1e-06,hgo_qp_true_j2,monotonic,final_displacement_relative_l2,final disp rel L2,1366.76,0,1366.76,0,1,10_results\reports\solver_in_loop_ablation_newton_diag_smoke\multi_step_line_search_newton\summary.json
Multi-step line-search Newton,multi_step_line_search_newton,dense_newton,1.0,3,True,1e-06,hgo_qp_true_j2,monotonic,qp_history_relative_l2,QP history rel L2,2.40143,0,2.40143,0,1,10_results\reports\solver_in_loop_ablation_newton_diag_smoke\multi_step_line_search_newton\summary.json
Multi-step line-search Newton,multi_step_line_search_newton,dense_newton,1.0,3,True,1e-06,hgo_qp_true_j2,monotonic,qp_history_increment_relative_l2,QP history-inc rel L2,1.00023,0,1.00023,0,1,10_results\reports\solver_in_loop_ablation_newton_diag_smoke\multi_step_line_search_newton\summary.json
Multi-step line-search Newton,multi_step_line_search_newton,dense_newton,1.0,3,True,1e-06,hgo_qp_true_j2,monotonic,qp_reversal_eqp_increment_relative_l2,QP reversal eqp-inc rel L2,0,0,0,0,1,10_results\reports\solver_in_loop_ablation_newton_diag_smoke\multi_step_line_search_newton\summary.json
Multi-step line-search Newton,multi_step_line_search_newton,dense_newton,1.0,3,True,1e-06,hgo_qp_true_j2,monotonic,qp_reversal_plastic_work_increment_relative_l2,QP reversal work-inc rel L2,0,0,0,0,1,10_results\reports\solver_in_loop_ablation_newton_diag_smoke\multi_step_line_search_newton\summary.json
Multi-step line-search Newton,multi_step_line_search_newton,dense_newton,1.0,3,True,1e-06,hgo_qp_true_j2,monotonic,qp_reversal_yield_flag_mae,QP reversal yield MAE,0,0,0,0,1,10_results\reports\solver_in_loop_ablation_newton_diag_smoke\multi_step_line_search_newton\summary.json
Multi-step line-search Newton,multi_step_line_search_newton,dense_newton,1.0,3,True,1e-06,hgo_qp_true_j2,monotonic,fem_residual_relative_rms,FEM residual rel RMS,40.8969,0,40.8969,0,1,10_results\reports\solver_in_loop_ablation_newton_diag_smoke\multi_step_line_search_newton\summary.json
Multi-step line-search Newton,multi_step_line_search_newton,dense_newton,1.0,3,True,1e-06,hgo_qp_true_j2,monotonic,fem_energy_relative_error,FEM energy rel err,318.989,0,318.989,0,1,10_results\reports\solver_in_loop_ablation_newton_diag_smoke\multi_step_line_search_newton\summary.json
Multi-step line-search Newton,multi_step_line_search_newton,dense_newton,1.0,3,True,1e-06,hgo_qp_true_j2,monotonic,fem_solver_linearized_residual_relative_rms,FEM tangent-solver rel RMS,1124.78,0,1124.78,0,1,10_results\reports\solver_in_loop_ablation_newton_diag_smoke\multi_step_line_search_newton\summary.json
Multi-step line-search Newton,multi_step_line_search_newton,dense_newton,1.0,3,True,1e-06,hgo_qp_true_j2,monotonic,fem_newton_initial_residual_relative_rms,Newton initial residual rel RMS,36.0865,0,36.0865,0,1,10_results\reports\solver_in_loop_ablation_newton_diag_smoke\multi_step_line_search_newton\summary.json
Multi-step line-search Newton,multi_step_line_search_newton,dense_newton,1.0,3,True,1e-06,hgo_qp_true_j2,monotonic,fem_newton_final_residual_relative_rms,Newton final residual rel RMS,1.10428e-08,0,1.10428e-08,0,1,10_results\reports\solver_in_loop_ablation_newton_diag_smoke\multi_step_line_search_newton\summary.json
Multi-step line-search Newton,multi_step_line_search_newton,dense_newton,1.0,3,True,1e-06,hgo_qp_true_j2,monotonic,fem_newton_residual_ratio,Newton residual ratio,2.6068e-10,0,2.6068e-10,0,1,10_results\reports\solver_in_loop_ablation_newton_diag_smoke\multi_step_line_search_newton\summary.json
Multi-step line-search Newton,multi_step_line_search_newton,dense_newton,1.0,3,True,1e-06,hgo_qp_true_j2,monotonic,fem_newton_residual_decrease_fraction,Newton residual decrease,1,0,1,0,1,10_results\reports\solver_in_loop_ablation_newton_diag_smoke\multi_step_line_search_newton\summary.json
Multi-step line-search Newton,multi_step_line_search_newton,dense_newton,1.0,3,True,1e-06,hgo_qp_true_j2,monotonic,fem_newton_step_residual_decrease_fraction,Newton step residual decrease,0.9978,0,0.9978,0,1,10_results\reports\solver_in_loop_ablation_newton_diag_smoke\multi_step_line_search_newton\summary.json
Multi-step line-search Newton,multi_step_line_search_newton,dense_newton,1.0,3,True,1e-06,hgo_qp_true_j2,monotonic,fem_newton_correction_relative_norm,Newton correction rel norm,17.9656,0,17.9656,0,1,10_results\reports\solver_in_loop_ablation_newton_diag_smoke\multi_step_line_search_newton\summary.json
Multi-step line-search Newton,multi_step_line_search_newton,dense_newton,1.0,3,True,1e-06,hgo_qp_true_j2,monotonic,fem_newton_accepted_damping,Newton accepted damping,1,0,1,0,1,10_results\reports\solver_in_loop_ablation_newton_diag_smoke\multi_step_line_search_newton\summary.json
Multi-step line-search Newton,multi_step_line_search_newton,dense_newton,1.0,3,True,1e-06,hgo_qp_true_j2,monotonic,fem_newton_convergence_rate,Newton convergence rate,1,0,1,0,1,10_results\reports\solver_in_loop_ablation_newton_diag_smoke\multi_step_line_search_newton\summary.json
Multi-step line-search Newton,multi_step_line_search_newton,dense_newton,1.0,3,True,1e-06,hgo_qp_true_j2,monotonic,fem_newton_failure_rate,Newton failure rate,0,0,0,0,1,10_results\reports\solver_in_loop_ablation_newton_diag_smoke\multi_step_line_search_newton\summary.json
Multi-step line-search Newton,multi_step_line_search_newton,dense_newton,1.0,3,True,1e-06,hgo_qp_true_j2,nonproportional,displacement_relative_l2,rollout disp rel L2,907.47,0,907.47,0,1,10_results\reports\solver_in_loop_ablation_newton_diag_smoke\multi_step_line_search_newton\summary.json
Multi-step line-search Newton,multi_step_line_search_newton,dense_newton,1.0,3,True,1e-06,hgo_qp_true_j2,nonproportional,final_displacement_relative_l2,final disp rel L2,1137.01,0,1137.01,0,1,10_results\reports\solver_in_loop_ablation_newton_diag_smoke\multi_step_line_search_newton\summary.json
Multi-step line-search Newton,multi_step_line_search_newton,dense_newton,1.0,3,True,1e-06,hgo_qp_true_j2,nonproportional,qp_history_relative_l2,QP history rel L2,1.90045,0,1.90045,0,1,10_results\reports\solver_in_loop_ablation_newton_diag_smoke\multi_step_line_search_newton\summary.json
Multi-step line-search Newton,multi_step_line_search_newton,dense_newton,1.0,3,True,1e-06,hgo_qp_true_j2,nonproportional,qp_history_increment_relative_l2,QP history-inc rel L2,1.00148,0,1.00148,0,1,10_results\reports\solver_in_loop_ablation_newton_diag_smoke\multi_step_line_search_newton\summary.json
Multi-step line-search Newton,multi_step_line_search_newton,dense_newton,1.0,3,True,1e-06,hgo_qp_true_j2,nonproportional,qp_reversal_eqp_increment_relative_l2,QP reversal eqp-inc rel L2,16.9011,0,16.9011,0,1,10_results\reports\solver_in_loop_ablation_newton_diag_smoke\multi_step_line_search_newton\summary.json
Multi-step line-search Newton,multi_step_line_search_newton,dense_newton,1.0,3,True,1e-06,hgo_qp_true_j2,nonproportional,qp_reversal_plastic_work_increment_relative_l2,QP reversal work-inc rel L2,19.1704,0,19.1704,0,1,10_results\reports\solver_in_loop_ablation_newton_diag_smoke\multi_step_line_search_newton\summary.json
Multi-step line-search Newton,multi_step_line_search_newton,dense_newton,1.0,3,True,1e-06,hgo_qp_true_j2,nonproportional,qp_reversal_yield_flag_mae,QP reversal yield MAE,0,0,0,0,1,10_results\reports\solver_in_loop_ablation_newton_diag_smoke\multi_step_line_search_newton\summary.json
Multi-step line-search Newton,multi_step_line_search_newton,dense_newton,1.0,3,True,1e-06,hgo_qp_true_j2,nonproportional,fem_residual_relative_rms,FEM residual rel RMS,35.9782,0,35.9782,0,1,10_results\reports\solver_in_loop_ablation_newton_diag_smoke\multi_step_line_search_newton\summary.json
Multi-step line-search Newton,multi_step_line_search_newton,dense_newton,1.0,3,True,1e-06,hgo_qp_true_j2,nonproportional,fem_energy_relative_error,FEM energy rel err,234.561,0,234.561,0,1,10_results\reports\solver_in_loop_ablation_newton_diag_smoke\multi_step_line_search_newton\summary.json
Multi-step line-search Newton,multi_step_line_search_newton,dense_newton,1.0,3,True,1e-06,hgo_qp_true_j2,nonproportional,fem_solver_linearized_residual_relative_rms,FEM tangent-solver rel RMS,851.138,0,851.138,0,1,10_results\reports\solver_in_loop_ablation_newton_diag_smoke\multi_step_line_search_newton\summary.json
Multi-step line-search Newton,multi_step_line_search_newton,dense_newton,1.0,3,True,1e-06,hgo_qp_true_j2,nonproportional,fem_newton_initial_residual_relative_rms,Newton initial residual rel RMS,31.7769,0,31.7769,0,1,10_results\reports\solver_in_loop_ablation_newton_diag_smoke\multi_step_line_search_newton\summary.json
Multi-step line-search Newton,multi_step_line_search_newton,dense_newton,1.0,3,True,1e-06,hgo_qp_true_j2,nonproportional,fem_newton_final_residual_relative_rms,Newton final residual rel RMS,1.01995e-08,0,1.01995e-08,0,1,10_results\reports\solver_in_loop_ablation_newton_diag_smoke\multi_step_line_search_newton\summary.json
Multi-step line-search Newton,multi_step_line_search_newton,dense_newton,1.0,3,True,1e-06,hgo_qp_true_j2,nonproportional,fem_newton_residual_ratio,Newton residual ratio,2.68613e-10,0,2.68613e-10,0,1,10_results\reports\solver_in_loop_ablation_newton_diag_smoke\multi_step_line_search_newton\summary.json
Multi-step line-search Newton,multi_step_line_search_newton,dense_newton,1.0,3,True,1e-06,hgo_qp_true_j2,nonproportional,fem_newton_residual_decrease_fraction,Newton residual decrease,1,0,1,0,1,10_results\reports\solver_in_loop_ablation_newton_diag_smoke\multi_step_line_search_newton\summary.json
Multi-step line-search Newton,multi_step_line_search_newton,dense_newton,1.0,3,True,1e-06,hgo_qp_true_j2,nonproportional,fem_newton_step_residual_decrease_fraction,Newton step residual decrease,0.997779,0,0.997779,0,1,10_results\reports\solver_in_loop_ablation_newton_diag_smoke\multi_step_line_search_newton\summary.json
Multi-step line-search Newton,multi_step_line_search_newton,dense_newton,1.0,3,True,1e-06,hgo_qp_true_j2,nonproportional,fem_newton_correction_relative_norm,Newton correction rel norm,13.2648,0,13.2648,0,1,10_results\reports\solver_in_loop_ablation_newton_diag_smoke\multi_step_line_search_newton\summary.json
Multi-step line-search Newton,multi_step_line_search_newton,dense_newton,1.0,3,True,1e-06,hgo_qp_true_j2,nonproportional,fem_newton_accepted_damping,Newton accepted damping,1,0,1,0,1,10_results\reports\solver_in_loop_ablation_newton_diag_smoke\multi_step_line_search_newton\summary.json
Multi-step line-search Newton,multi_step_line_search_newton,dense_newton,1.0,3,True,1e-06,hgo_qp_true_j2,nonproportional,fem_newton_convergence_rate,Newton convergence rate,1,0,1,0,1,10_results\reports\solver_in_loop_ablation_newton_diag_smoke\multi_step_line_search_newton\summary.json
Multi-step line-search Newton,multi_step_line_search_newton,dense_newton,1.0,3,True,1e-06,hgo_qp_true_j2,nonproportional,fem_newton_failure_rate,Newton failure rate,0,0,0,0,1,10_results\reports\solver_in_loop_ablation_newton_diag_smoke\multi_step_line_search_newton\summary.json
